seed.source,pedigree,geno,year,rep,male,female,stand,midHeight,midWidth,height,width,flw,dlw,frw,drw
ST404-1,L6038B,1,1,1,1,1,3,21.83333333,34.33333333,26.66666667,42.5,11.73,2.006666667,64.86666667,7.643333333
ST404-1,L6038B,1,2,1,1,1,2,29.33333333,52.83333333,30.66666667,34.66666667,9.62,0.79,71.90333333,6.933333333
ST404-1,L6038B,1,3,1,1,1,3,14.16666667,28.66666667,32.66666667,44.66666667,13.94,1.256666667,40.05666667,4.153333333
ST404-1,L6038B,1,1,2,1,1,3,28.16666667,39,30,45.33333333,11.68333333,1.766666667,76.2,8.02
ST404-1,L6038B,1,2,2,1,1,2.5,33.66666667,50.33333333,33.5,48,12.27,1.463333333,69.01,7.396666667
ST404-1,L6038B,1,3,2,1,1,3,14,27.33333333,32,42.33333333,17.68,1.536666667,46.30333333,4.086666667
ST408-5,L6038A x L7550B,7,1,1,2,1,3,37.66666667,47.66666667,38,54.83333333,14.47,2.216666667,72.46666667,8.43
ST408-5,L6038A x L7550B,7,2,1,2,1,2.5,44.5,68.33333333,44,57.33333333,21.29666667,3.11,99.74333333,13.00333333
ST508-5,L6038A x L7550B,7,3,1,2,1,1.5,14.83333333,26.16666667,38.33333333,44.16666667,13.94333333,1.363333333,54.65666667,5.67
ST408-5,L6038A x L7550B,7,1,2,2,1,3,25.66666667,39.66666667,26,41.16666667,10.75333333,2.03,41.46666667,6.32
ST408-5,L6038A x L7550B,7,2,2,2,1,2.5,43.16666667,61,43.5,62.83333333,23.30333333,3.93,128.48,18.04333333
ST508-5,L6038A x L7550B,7,3,2,2,1,2.5,22.16666667,34.66666667,38.33333333,45,16.32333333,1.786666667,72.05,7.366666667
ST401-5,L6038A x P0159B,13,1,1,3,1,2,39.16666667,48.66666667,49.33333333,56.16666667,48.23333333,6.46,139.4666667,17.09333333
ST401-5,L6038A x P0159B,13,2,1,3,1,1,40.83333333,47,42.5,56,40.94333333,6.946666667,274.07,34.04
ST501-5,L6038A x P0159B,13,3,1,3,1,1.5,13.16666667,21.33333333,34.16666667,40.33333333,47.37,6.666666667,121.2966667,14.88333333
ST401-5,L6038A x P0159B,13,1,2,3,1,3,43.16666667,51,47.16666667,58,28.51,4.48,117.1333333,17.21666667
ST401-5,L6038A x P0159B,13,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST501-5,L6038A x P0159B,13,3,2,3,1,1,11.16666667,25.16666667,33.66666667,35.5,57.64333333,5.883333333,90.55,12.12666667
ST403-5,L6038A x Nbh2189B,19,1,1,4,1,3,36.66666667,46.66666667,40.5,60.83333333,16.48,2.436666667,98.79,11.56
ST403-5,L6038A x Nbh2189B,19,2,1,4,1,3,48.66666667,65.33333333,39.16666667,72,25.44333333,3.473333333,99.74,11.73333333
ST403-5,L6038A x Nbh2189B,19,3,1,4,1,3,25.66666667,34.83333333,42.83333333,48,14.09,1.573333333,53.83,6.456666667
ST403-5,L6038A x Nbh2189B,19,1,2,4,1,3,43.16666667,52.33333333,45,49.5,16.55,2.355,105.8,12.3
ST403-5,L6038A x Nbh2189B,19,2,2,4,1,2,45.5,62.66666667,44.66666667,66.16666667,59.22666667,8.78,274.04,30.41
ST403-5,L6038A x Nbh2189B,19,3,2,4,1,3,25.16666667,37.66666667,44.83333333,55.33333333,12.08333333,1.033333333,49.26,4.386666667
ST405-5,L6038A x P6139B,25,1,1,5,1,3,41.66666667,51.66666667,37.66666667,54.66666667,12.84666667,2.123333333,77.3,10.36333333
ST405-5,L6038A x P6139B,25,2,1,5,1,1,44.66666667,42.33333333,44.33333333,63.66666667,54.44,8.57,335.59,36.58
ST405-5,L6038A x P6139B,25,3,1,5,1,3,26.33333333,34.66666667,51.83333333,52.5,27.61,3.186666667,71.21,8.153333333
ST405-5,L6038A x P6139B,25,1,2,5,1,3,42.5,49,40.16666667,52,14.95,2.28,103.715,13.785
ST405-5,L6038A x P6139B,25,2,2,5,1,3,56.5,76.66666667,60.83333333,69,24.28,3.83,158.3066667,18.40666667
ST405-5,L6038A x P6139B,25,3,2,5,1,2.5,24.83333333,35.33333333,51.5,54.66666667,17.04,1.68,54.25666667,5.793333333
ST407-5,L6038A x 7262B,31,1,1,6,1,3,38.83333333,53.66666667,45.16666667,58.16666667,23.83333333,3.406666667,71.76666667,9.573333333
ST407-5,L6038A x 7262B,31,2,1,6,1,1,49.33333333,65.66666667,53,60,43.51333333,7.77,273.8366667,38.51666667
ST407-5,L6038A x 7262B,31,3,1,6,1,3,27.16666667,35.33333333,59.66666667,58.16666667,24.20333333,2.703333333,45.38,6.08
ST407-5,L6038A x 7262B,31,1,2,6,1,2,36,53.33333333,52.16666667,56.33333333,20.62666667,3.033333333,65.83333333,8.513333333
ST407-5,L6038A x 7262B,31,2,2,6,1,3,49,74.66666667,49.16666667,64,16.85666667,2.193333333,104.6466667,13.41333333
ST407-5,L6038A x 7262B,31,3,2,6,1,3,27,37.66666667,57.33333333,57,23.39666667,2.876666667,52.89333333,6.876666667
ST404-9,L7550A x L6038B,2,1,1,1,2,3,22.33333333,39,23.16666667,46.16666667,11.93333333,2.083333333,62.23333333,8.196666667
ST404-9,L7550A x L6038B,2,2,1,1,2,1,34.5,47,30.66666667,44.33333333,55.04,10.46333333,295.13,33.58
ST404-9,L7550A x L6038B,2,3,1,1,2,2,11.5,22.16666667,31.5,37.33333333,17.68,1.706666667,55.39333333,5.386666667
ST404-9,L7550A x L6038B,2,1,2,1,2,2,23.83333333,38.83333333,31.83333333,41.16666667,16.19666667,2.506666667,86.4,9.553333333
ST404-9,L7550A x L6038B,2,2,2,1,2,1,34.16666667,47.33333333,31.33333333,38.83333333,17.82333333,3.096666667,163.0966667,17.75666667
ST404-9,L7550A x L6038B,2,3,2,1,2,2.5,13.66666667,29,27.5,34.5,15.28666667,1.466666667,57.51,5.413333333
ST408-1,L7550B,8,1,1,2,2,2,29.83333333,41.33333333,42.33333333,53.83333333,16.06333333,2.45,74.5,9.046666667
ST408-1,L7550B,8,2,1,2,2,1.5,39.33333333,56,33.66666667,49.33333333,11.71666667,1.343333333,77.46,10.66333333
ST408-1,L7550B,8,3,1,2,2,2,16.16666667,30.83333333,45.5,51,13.58333333,1.436666667,42.57333333,4.436666667
ST408-1,L7550B,8,1,2,2,2,2,27.66666667,48.16666667,38.33333333,46.66666667,13.64666667,2.166666667,48.81,6.12
ST408-1,L7550B,8,2,2,2,2,1.5,45,62.33333333,38.5,64.66666667,22.80333333,3.736666667,117.5266667,14.49
ST408-1,L7550B,8,3,2,2,2,2,17.83333333,29.5,43.33333333,48.33333333,13.61666667,1.503333333,43.51333333,5.113333333
ST401-9,L7550A x P0159B,14,1,1,3,2,1,29.33333333,40.33333333,42,51.66666667,80.56,12.73,197.4,26.37
ST401-9,L7550A x P0159B,14,2,1,3,2,1,46.5,61.33333333,51.16666667,65.83333333,126.4,25.01666667,454.74,59.74666667
