plot,pedigree,root_source,seed_source,female,male,rep,sub,height,width,flw,dlw,frw,drw
6336,P6139A,4706,86483 x 86482,5,5,1,1,48.5,57,18.212,2.74,61,7.88
6336,P6139A,4706,86483 x 86482,5,5,1,2,53,60,22.378,3.59,84.1,11.5
6336,P6139A,4706,86483 x 86482,5,5,1,3,53,51,24.976,3.96,88.4,11.81
6616,P0159B,4683,111288,1,1,1,1,42.5,47,21.206,3.21,53.6,7.95
6616,P0159B,4683,111288,1,1,1,2,44,53.5,27.912,4.61,63.7,9.52
6616,P0159B,4683,111288,1,1,1,3,44,52.5,21.319,3.32,59.7,8.75
6617,P0159B,4683,111288,1,1,2,1,41,51,24.312,3.71,66.6,9.85
6617,P0159B,4683,111288,1,1,2,2,40,50,24.099,3.9,73.3,11.13
6617,P0159B,4683,111288,1,1,2,3,43,42,19.602,3.1,50.8,7.55
6618,P.S.C. x P0159B,4685,111289 x 288,1,1,1,1,59,58,20.722,3.62,56,8.69
6618,P.S.C. x P0159B,4685,111289 x 288,1,1,1,2,56,50,20.836,3.24,51.2,7.97
6618,P.S.C. x P0159B,4685,111289 x 288,1,1,1,3,61,62.5,24.355,3.76,56.4,9.3
6619,P.S.C. x P0159B,4685,111289 x 288,1,1,2,1,43,55,17.933,2.81,43.6,7.84
6619,P.S.C. x P0159B,4685,111289 x 288,1,1,2,2,53,54.5,14.432,2.29,40.5,7.08
6619,P.S.C. x P0159B,4685,111289 x 288,1,1,2,3,47,57,19.125,3.06,46.2,8.04
6624,Nbh2189B,4793,236-1,3,3,1,1,45.5,59,23.432,3.43,103.9,11.78
6624,Nbh2189B,4793,236-1,3,3,1,2,43.5,55,17.24,2.64,86.6,10.34
6624,Nbh2189B,4793,236-1,3,3,1,3,41,61,13.137,2.03,55.6,6.79
6625,Nbh2189B,4793,236-1,3,3,2,1,48,67,17.025,2.58,68.3,8.14
6625,Nbh2189B,4793,236-1,3,3,2,2,43,63,14.517,2.27,59,6.99
6625,Nbh2189B,4793,236-1,3,3,2,3,50.5,63,14.715,2.28,67.2,7.71
6626,S.C. x Nbh2189B,4794,111449 x 488,3,3,1,1,42,57,14.72,2.25,61.3,8.19
6626,S.C. x Nbh2189B,4794,111449 x 488,3,3,1,2,43,60,15.433,2.42,72.3,9.46
6626,S.C. x Nbh2189B,4794,111449 x 488,3,3,1,3,42,60,16.626,2.68,85.7,11.21
6627,S.C. x Nbh2189B,4794,111449 x 488,3,3,2,1,47.5,62,8.329,1.24,48.8,5.72
6627,S.C. x Nbh2189B,4794,111449 x 488,3,3,2,2,42,63,8.219,1.23,40.5,5.11
6627,S.C. x Nbh2189B,4794,111449 x 488,3,3,2,3,44,65,6.536,1.02,29.3,3.68
6628,L6038B,4624,86478,4,4,1,1,23.5,40.5,8.224,1.42,78.8,7.15
6628,L6038B,4624,86478,4,4,1,2,21,37,8.019,1.48,67.2,6
6628,L6038B,4624,86478,4,4,1,3,23,44,8.942,1.59,74.1,7.03
6629,L6038B,4624,86478,4,4,2,1,28.5,46,8.033,1.45,68.1,6.94
6629,L6038B,4624,86478,4,4,2,2,28,48.5,8.534,1.76,68.5,6.81
6629,L6038B,4624,86478,4,4,2,3,21,41.5,8.729,1.67,70.9,7.38
6630,L6038A,4625,86479,4,4,1,1,34,53,7.308,1.18,35.1,4.06
6630,L6038A,4625,86479,4,4,1,2,36.5,53.5,9.313,1.65,58.2,6.82
6630,L6038A,4625,86479,4,4,1,3,35,58,6.03,1,46.1,5.33
6631,L6038A,4625,86479,4,4,2,1,34,50,8.85,1.56,52.2,5.65
6631,L6038A,4625,86479,4,4,2,2,37.5,48.5,5.213,0.83,35.7,4
6631,L6038A,4625,86479,4,4,2,3,37,54,6.552,1.11,38,4.46
6632,P6139B,4705,86482,5,5,1,1,50,50,27.853,3.74,78.3,8.27
6632,P6139B,4705,86482,5,5,1,2,50.5,53,15.716,2.07,44.3,4.72
6632,P6139B,4705,86482,5,5,1,3,52,53.5,17.364,2.29,48.2,5.23
6633,P6139B,4705,86482,5,5,2,1,57,60,15.745,2.14,52.2,5.29
6633,P6139B,4705,86482,5,5,2,2,56,55,18.035,2.33,51.6,5.21
6633,P6139B,4705,86482,5,5,2,3,47,48,21.03375,2.94,59.375,6.17
6638,B7262B,4910,349-1,7,7,1,1,48.5,54,22.14,3.17,35.7,5.26
6638,B7262B,4910,349-1,7,7,1,2,47,52,16.233,2.04,23.6,3.5
6638,B7262B,4910,349-1,7,7,1,3,60,52.5,27.146,3.79,39,5.75
6639,B7262B,4910,349-1,7,7,2,1,61.5,51,22.133,2.78,25.6,3.98
6639,B7262B,4910,349-1,7,7,2,2,43.5,53,21.645,2.78,28.5,4.06
6639,B7262B,4910,349-1,7,7,2,3,56,53,19.235,2.53,24.3,3.52
6640,B7262A,4912,349-2,7,7,1,1,41.5,53,16.93,2.14,21.7,3.32
6640,B7262A,4912,349-2,7,7,1,2,56.5,51,16.528,2.12,23.4,3.54
6640,B7262A,4912,349-2,7,7,1,3,55,54,17.61,2.3,26,3.84
6641,B7262A,4912,349-2,7,7,2,1,55,57,23.222,3.18,32.7,5.02
6641,B7262A,4912,349-2,7,7,2,2,57.5,59,21.027,2.88,30.1,4.52
6641,B7262A,4912,349-2,7,7,2,3,51,60,22.892,3.2,37.1,5.51
6642,L7550B,4628,111086,8,8,1,1,30,40,5.825,0.93,36.1,3.91
6642,L7550B,4628,111086,8,8,1,2,30.5,40.5,6.435,1.02,39.3,4.18
6642,L7550B,4628,111086,8,8,1,3,26,42,5.413,0.9,35.5,3.84
6643,L7550B,4628,111086,8,8,2,1,25,35,5.718,0.94,38.2,4.34
